SampleID,p__Others,p__Planctomycetes,p__Verrucomicrobia,P__Actinobacteria,p__Acidobacteria,p__Cyanobacteria,p__Bacteroidetes,p__Firmicutes,p__Proteobacteria,,,,,,,
Marine_S11,0.024528983,0.00348842,0.036431,0.0366614,0.000329097,0.232243,0.0894211,0,0.576897,,,,,,,
Marine_S03,0.02519359,0.00281404,0.0400602,0.0401664,0.00031857,0.228149,0.0887572,0,0.574541,,,,,,,
Marine_S02,0.026686234,0.00238582,0.0376098,0.0340311,0.000497046,0.228641,0.103369,0,0.56678,,,,,,,
Marine_S17,0.024932955,0.00356811,0.0454981,0.0409105,0.000415335,0.254462,0.086009,0,0.544204,,,,,,,
Marine_S08,0.010260825,0.00289185,0.0469444,0.0384777,0.000562304,0.284927,0.0832745,2.14E-05,0.53264,,,,,,,
Marine_S09,0.012676851,0.00399771,0.0453353,0.0417911,0.000352739,0.285002,0.0810543,0,0.52979,,,,,,,
Marine_S07,0.023879343,0.00302433,0.0448215,0.0386074,0.000708827,0.295628,0.0758366,0,0.517494,,,,,,,
Marine_S18,0.002892147,0.00653942,0.000306904,0.0195828,0.000448552,0.0915007,0.527722,3.15E-05,0.350976,,,,,,,
Marine_S15,0.002452683,0.00678132,0.000417074,0.0191159,0.000316667,0.100484,0.522176,7.36E-06,0.348249,,,,,,,
Marine_S12,0.002524437,0.00691574,0.000470826,0.0206392,0.000293301,0.106005,0.517424,1.25E-05,0.345715,,,,,,,
Marine_S10,0.002377569,0.00577158,0.000399187,0.0190861,0.000174644,0.108762,0.529176,7.92E-06,0.334245,,,,,,,
Marine_S04,0.002318928,0.00479818,0.000470635,0.0186532,0.000218099,0.110863,0.535142,2.30E-05,0.327513,,,,,,,
Marine_S06,0.001895987,0.00506146,0.000462847,0.0188424,0.000149306,0.110456,0.543638,0,0.319494,,,,,,,
Marine_S01,0.002422484,0.00390704,0.000408401,0.0179969,0.000353948,0.112106,0.546523,2.72E-05,0.316255,,,,,,,
