SampleID,g__Alistipes,g__Sutterella,g__Parabacteroides,g__Bacteroides,g__Streptococcus,g__Veillonella,g__Staphylococcus,g__Prevotella,g__Delftia,g__Rahnella,g__Stenotrophomonas,g__Serratia,g__Arsenophonus,g__Acinetobacter,g__Pseudomonas,g__Escherichia_Shigella,g__Mycoplasma
Freshwater,0,0,0,0,0,0,0,0,0.002059732,0.003089598,0.003383846,0.004707959,0.006032073,0.013535383,0.023392673,0.058260997,0.885537737
Transfer microbiome,0,0,0,0,0,0,0,0,0.007790762,0.011686144,0.01279911,0.017807457,0.022815804,0.051196439,0.088480801,0.220367279,0.567056205
Transfer microbiome,0,0,0,0,0,0,0,0,0.013232514,0.019848771,0.02173913,0.030245747,0.038752363,0.086956522,0.150283554,0.374291115,0.264650284
Transfer microbiome,0,0,0,0,0,0,0,0,0.015086207,0.02262931,0.024784483,0.034482759,0.044181034,0.099137931,0.171336207,0.426724138,0.161637931
Transfer microbiome,0,0,0,0,0,0,0,0,0.016412661,0.024618992,0.026963658,0.037514654,0.048065651,0.107854631,0.186400938,0.464243845,0.087924971
Transfer microbiome,0,0,0,0,0,0,0,0,0.01754386,0.026315789,0.028822055,0.040100251,0.051378446,0.115288221,0.19924812,0.496240602,0.025062657
Transfer microbiome,0,0,0,0,0,0,0,0,0.017994859,0.026992288,0.029562982,0.041131105,0.052699229,0.118251928,0.20437018,0.508997429,0
Transfer microbiome,0,0,0,0,0,0,0,0,0.036649215,0.054973822,0.060209424,0.083769634,0.107329843,0.240837696,0.416230366,0,0
Transfer microbiome,0,0,0,0,0,0,0,0.164113786,0.030634573,0.04595186,0.050328228,0.070021882,0.089715536,0.20131291,0.347921225,0,0
Transfer microbiome,0,0,0,0,0,0,0,0.281954887,0.026315789,0.039473684,0.043233083,0.060150376,0.077067669,0.172932331,0.29887218,0,0
Transfer microbiome,0,0,0,0,0,0,0,0.320284698,0.024911032,0.037366548,0.040925267,0.056939502,0.072953737,0.163701068,0.282918149,0,0
Transfer microbiome,0,0,0,0,0,0.029325513,0.146627566,0.263929619,0.020527859,0.030791789,0.03372434,0.046920821,0.060117302,0.134897361,0.23313783,0,0
Transfer microbiome,0,0,0,0,0.260303688,0.021691974,0.10845987,0.195227766,0.015184382,0.022776573,0.02494577,0.034707158,0.044468547,0.09978308,0.172451193,0,0
Transfer microbiome,0,0,0,0.227805695,0.201005025,0.016750419,0.083752094,0.150753769,0.011725293,0.01758794,0.019262982,0.02680067,0.034338358,0.077051926,0.133165829,0,0
Transfer microbiome,0,0,0,0.455404607,0.141760189,0.011813349,0.059066745,0.106320142,0.008269344,0.012404017,0.013585351,0.018901359,0.024217366,0.054341406,0.093916125,0,0
Transfer microbiome,0,0,0,0.705619413,0.076628352,0.006385696,0.03192848,0.057471264,0.004469987,0.006704981,0.00734355,0.010217114,0.013090677,0.029374202,0.050766284,0,0
Transfer microbiome,0,0,0,0.789545766,0.054782013,0.004565168,0.022825839,0.04108651,0.003195617,0.004793426,0.005249943,0.007304268,0.009358594,0.020999772,0.036293084,0,0
Gut,0,0,0,0.952857143,0.01,0.015714286,0,0,0,0,0,0,0,0,0,0.021428571,0
Gut,0,0.016976596,0.023101521,0.93146669,0.001722917,0.000396902,0.000658497,1.80E-05,0,0,0,0,2.26E-05,0,0.000473577,0.025162707,0
Gut,0.000105459,0.000147642,0.0002531,0.998418122,0.0002531,4.22E-05,0,0.000274192,0,0,0,0,0,0,0,0.000506201,0
Gut,0.008656873,0,0.021248688,0.968782791,0,0,0,0.000786988,0,0,0,0,0,0,0,0.000524659,0
Gut,0.021240442,0.016142736,0.021523648,0.937411498,0,0,0,0.003681677,0,0,0,0,0,0,0,0,0
