Day,g__Other,g__Sutterella,g__Oribacterium,g__Granulicatella,g__Leptotrichia,g__Rothia,g__Porphyromonas,g__Neisseria,g__Parabacteroides,g__Streptococcus,g__Veillonella,g__Fusobacterium,g__Haemophilus,g__Finegoldia,g__Prevotella
15,0.10924933,0,0.005697051,0.006786193,0.009886059,0.01566689,0.034936327,0.053284182,0.053954424,0.059232574,0.066437668,0.074983244,0.132037534,0.163538874,0.214309651
30,0.101714461,0,0.004151611,0.009302683,0.006996233,0.003229031,0.048666103,0.129622511,0.078957484,0.106788652,0.039594065,0.081878988,0.125317137,0.002844622,0.260936419
45,0.114485134,0,0.006073241,0.005257433,0.00453227,0.003172589,0.062454677,0.208937636,0.093002175,0.059010152,0.018038434,0.097534445,0.178390138,0,0.149111675
60,0.03935206,0,0.007515929,0.010881271,0.005048012,0.017522211,0.105065961,0.266220946,0.049694876,0.060082563,0.047698106,0.128556044,0.158103742,4.48712E-05,0.104213408
75,0.052959363,0,0.028603839,0.004581952,0.023577037,0.007362263,0.117329122,0.222469361,0.019884784,0.064258547,0.050668387,0.191151938,0.166707445,0,0.050445962
90,0.046539647,0.05592603,0.010086859,0.009778649,0.005968058,0.007340992,0.083917064,0.237741664,0.055365649,0.082908378,0.030232558,0.149873914,0.18727935,5.60381E-05,0.03698515
105,0.118473965,0.006461591,0.008798763,0.012167039,0.007423956,0.028458498,0.032342327,0.28046056,0.027977316,0.145660766,0.035470012,0.098229936,0.139645987,0.03498883,0.023440454
120,0.05436959,0.025968025,0.007978314,0.018729015,0.009641746,0.037704464,0.062501925,0.236977482,0.066968549,0.09928226,0.036995965,0.115485322,0.185842344,0,0.041555001
135,0.101732014,0.001974686,0.005805101,0.018581081,0.003211839,0.052769319,0.021174343,0.214027408,0.009659307,0.212552341,0.032641797,0.060430148,0.193186144,0.032570423,0.03968405
150,0.071040794,0.007245895,0.035365286,0.01500144,0.013738394,0.01364976,0.034744843,0.182233154,0.028717676,0.200358971,0.074165171,0.100888564,0.120499014,0,0.102351038
165,0.056457143,0.007847619,0.011936508,0.005866667,0.024228571,0.008253968,0.029866667,0.238222222,0.054806349,0.088406349,0.043606349,0.186666667,0.164749206,0.000177778,0.078907937
180,0.088948307,0.011729055,0.015757576,0.019821747,0.021639929,0.021390374,0.024848485,0.137896613,0.04916221,0.208734403,0.089376114,0.086381462,0.078609626,0,0.1457041
195,0.043488512,0.009509837,0.012496398,0.009955202,0.014749417,0.02706243,0.027848367,0.303817034,0.046737052,0.12705981,0.04451023,0.104843992,0.167011606,0,0.060910115
210,0.054225696,0.003047433,0.003605741,0.011887315,0.005071301,0.027310582,0.056226301,0.253355666,0.03684835,0.088235978,0.042640798,0.071277363,0.26254449,4.65257E-05,0.08367646
225,0.053866145,0.011550679,0.007352451,0.021235478,0.006708279,0.043648237,0.037428641,0.272396099,0.028565717,0.161065328,0.051978054,0.066127635,0.150292099,0,0.087785157
240,0.060463219,0.00505371,0.003195395,0.021642569,0.037347596,0.024044781,0.046911118,0.202986901,0.046027286,0.184267779,0.089357748,0.028033359,0.113334542,0,0.137333998
255,0.056913084,0.007198493,0.00475213,0.017911875,0.005314512,0.013750246,0.084891601,0.187442004,0.041785001,0.14543205,0.029356354,0.080954925,0.118044035,0,0.206253691
270,0.12860169,0.016384657,0.005793329,0.008064722,0.006712095,0.006074063,0.051272235,0.187147487,0.021386826,0.165250236,0.04593829,0.047214353,0.094939132,0.031595335,0.183625552
285,0.052475895,0.012230154,0.016183623,0.004806735,0.008134475,0.022753776,0.062771979,0.288261896,0.043971672,0.081145653,0.06265821,0.094513496,0.114622145,0,0.135470292
300,0.033474523,0.002908079,0.001106335,0.031293463,0.005942597,0.034422809,0.02648881,0.387817676,0.037520546,0.130863573,0.040460235,0.038942976,0.143602225,0,0.085156151
