,PC1,PC2,Type
S_550.L1S133.s.1.sequence,-0.416716403,-0.117805128,Individual I_Gut
S_550.L1S134.s.1.sequence,-0.391991394,-0.131519585,Individual I_Gut
S_550.L1S135.s.1.sequence,-0.40270553,-0.104838815,Individual I_Gut
S_550.L1S136.s.1.sequence,-0.439791068,-0.137889494,Individual I_Gut
S_550.L1S137.s.1.sequence,-0.295592466,-0.098671679,Individual I_Gut
S_550.L1S138.s.1.sequence,-0.37972918,-0.06866038,Individual I_Gut
S_550.L1S139.s.1.sequence,-0.445011807,-0.140176692,Individual I_Gut
S_550.L1S140.s.1.sequence,-0.489075879,-0.162803864,Individual I_Gut
S_550.L1S141.s.1.sequence,-0.497553819,-0.169061088,Individual I_Gut
S_550.L1S142.s.1.sequence,-0.308296748,-0.049675888,Individual I_Gut
S_550.L1S143.s.1.sequence,-0.488587034,-0.163437508,Individual I_Gut
S_550.L1S144.s.1.sequence,-0.321246336,-0.032894236,Individual I_Gut
S_550.L1S145.s.1.sequence,-0.445978601,-0.134207399,Individual I_Gut
S_550.L1S146.s.1.sequence,-0.486207822,-0.172780824,Individual I_Gut
S_550.L1S147.s.1.sequence,-0.3477613,-0.07421808,Individual I_Gut
S_550.L1S148.s.1.sequence,-0.373817263,-0.08060393,Individual I_Gut
S_550.L1S149.s.1.sequence,-0.402353331,-0.12240429,Individual I_Gut
S_550.L1S150.s.1.sequence,-0.328796912,-0.051504279,Individual I_Gut
S_550.L1S151.s.1.sequence,-0.332832419,-0.038874962,Individual I_Gut
S_550.L1S152.s.1.sequence,-0.488587449,-0.16902358,Individual I_Gut
S_550.L1S153.s.1.sequence,-0.351349551,-0.05421739,Individual I_Gut
S_550.L1S154.s.1.sequence,-0.48346795,-0.169055477,Individual I_Gut
S_550.L1S155.s.1.sequence,-0.475674659,-0.163145637,Individual I_Gut
S_550.L1S156.s.1.sequence,-0.439908003,-0.150401659,Individual I_Gut
S_550.L1S157.s.1.sequence,-0.496178086,-0.174917325,Individual I_Gut
S_550.L1S158.s.1.sequence,-0.485412435,-0.169464555,Individual I_Gut
S_550.L1S159.s.1.sequence,-0.443370784,-0.151897846,Individual I_Gut
S_550.L1S160.s.1.sequence,-0.430004469,-0.14125184,Individual I_Gut
S_550.L1S161.s.1.sequence,-0.47681452,-0.16719627,Individual I_Gut
S_550.L1S162.s.1.sequence,-0.475935881,-0.168360202,Individual I_Gut
S_550.L1S163.s.1.sequence,-0.49086003,-0.17034523,Individual I_Gut
S_550.L1S164.s.1.sequence,-0.459736862,-0.156347829,Individual I_Gut
S_550.L1S165.s.1.sequence,-0.330829911,-0.045855094,Individual I_Gut
S_550.L1S166.s.1.sequence,-0.392065111,-0.131166364,Individual I_Gut
S_550.L1S167.s.1.sequence,-0.45640265,-0.154123876,Individual I_Gut
S_550.L1S168.s.1.sequence,-0.475740195,-0.157015499,Individual I_Gut
S_550.L1S169.s.1.sequence,-0.373494674,-0.071756713,Individual I_Gut
S_550.L1S170.s.1.sequence,-0.480167598,-0.168193219,Individual I_Gut
S_550.L1S171.s.1.sequence,-0.467963519,-0.160646839,Individual I_Gut
S_550.L1S172.s.1.sequence,-0.470780307,-0.161531093,Individual I_Gut
S_550.L1S173.s.1.sequence,-0.472953379,-0.161763642,Individual I_Gut
S_550.L1S174.s.1.sequence,-0.462952895,-0.155414313,Individual I_Gut
S_550.L1S175.s.1.sequence,-0.260020705,-0.064707571,Individual I_Gut
S_550.L1S176.s.1.sequence,-0.123745196,-0.043791304,Individual I_Gut
S_550.L1S177.s.1.sequence,-0.47169906,-0.164069926,Individual I_Gut
S_550.L1S178.s.1.sequence,-0.252215656,-0.060364222,Individual I_Gut
S_550.L1S179.s.1.sequence,-0.490956116,-0.167444711,Individual I_Gut
S_550.L1S180.s.1.sequence,-0.49624829,-0.165183946,Individual I_Gut
S_550.L1S181.s.1.sequence,-0.492769701,-0.168782456,Individual I_Gut
S_550.L1S182.s.1.sequence,-0.4883139,-0.161292695,Individual I_Gut
S_550.L1S183.s.1.sequence,-0.462776533,-0.158255364,Individual I_Gut
S_550.L1S184.s.1.sequence,-0.487830058,-0.168633631,Individual I_Gut
S_550.L1S185.s.1.sequence,-0.498996643,-0.172060435,Individual I_Gut
S_550.L1S186.s.1.sequence,-0.469586076,-0.163565179,Individual I_Gut
S_550.L1S187.s.1.sequence,-0.452143327,-0.154644296,Individual I_Gut
S_550.L1S188.s.1.sequence,-0.456819491,-0.15730152,Individual I_Gut
S_550.L1S189.s.1.sequence,-0.461459899,-0.157956252,Individual I_Gut
S_550.L1S190.s.1.sequence,-0.44250611,-0.151365191,Individual I_Gut
S_550.L1S191.s.1.sequence,-0.412746421,-0.138422472,Individual I_Gut
S_550.L1S193.s.1.sequence,-0.465558832,-0.164032941,Individual I_Gut
S_550.L1S194.s.1.sequence,-0.441976679,-0.150746508,Individual I_Gut
S_550.L1S195.s.1.sequence,-0.261906104,-0.025731437,Individual I_Gut
S_550.L1S196.s.1.sequence,-0.476268236,-0.161016147,Individual I_Gut
S_550.L1S197.s.1.sequence,-0.462643767,-0.159337604,Individual I_Gut
S_550.L1S198.s.1.sequence,-0.407702418,-0.126445033,Individual I_Gut
S_550.L1S199.s.1.sequence,-0.487200698,-0.169134647,Individual I_Gut
S_550.L1S200.s.1.sequence,-0.48111852,-0.167386194,Individual I_Gut
S_550.L1S201.s.1.sequence,-0.488845878,-0.165386963,Individual I_Gut
S_550.L1S202.s.1.sequence,-0.395361549,-0.028315399,Individual I_Gut
S_550.L1S203.s.1.sequence,-0.475081764,-0.163571644,Individual I_Gut
S_550.L1S204.s.1.sequence,-0.49006369,-0.163934164,Individual I_Gut
S_550.L1S205.s.1.sequence,-0.480693517,-0.165614232,Individual I_Gut
S_550.L1S206.s.1.sequence,-0.484677057,-0.168078778,Individual I_Gut
S_550.L1S207.s.1.sequence,-0.490357279,-0.172467507,Individual I_Gut
S_550.L1S208.s.1.sequence,-0.468125112,-0.162701223,Individual I_Gut
S_550.L1S209.s.1.sequence,-0.48043658,-0.167386259,Individual I_Gut
S_550.L1S210.s.1.sequence,-0.484006432,-0.169427609,Individual I_Gut
S_550.L1S212.s.1.sequence,-0.311139133,-0.074211819,Individual I_Gut
S_550.L1S213.s.1.sequence,-0.451309301,-0.157968223,Individual I_Gut
S_550.L1S214.s.1.sequence,-0.322298977,-0.114190094,Individual I_Gut
S_550.L1S215.s.1.sequence,-0.424535351,-0.14687863,Individual I_Gut
S_550.L1S216.s.1.sequence,-0.440175688,-0.142401954,Individual I_Gut
S_550.L1S217.s.1.sequence,-0.207544187,0.014165822,Individual I_Gut
S_550.L1S218.s.1.sequence,-0.42427308,-0.122947832,Individual I_Gut
S_550.L1S219.s.1.sequence,-0.411399374,-0.09669601,Individual I_Gut
S_550.L1S220.s.1.sequence,-0.467146052,-0.162463438,Individual I_Gut
S_550.L1S221.s.1.sequence,-0.470308826,-0.161296458,Individual I_Gut
S_550.L1S222.s.1.sequence,-0.269442288,-0.065422976,Individual I_Gut
S_550.L1S223.s.1.sequence,-0.396426545,-0.125003711,Individual I_Gut
S_550.L1S224.s.1.sequence,-0.433836843,-0.136200483,Individual I_Gut
S_550.L1S225.s.1.sequence,-0.44154837,-0.138485231,Individual I_Gut
S_550.L1S226.s.1.sequence,-0.438684897,-0.145262241,Individual I_Gut
S_550.L1S228.s.1.sequence,-0.447818394,-0.152161418,Individual I_Gut
S_550.L1S229.s.1.sequence,-0.465339821,-0.163817683,Individual I_Gut
S_550.L1S231.s.1.sequence,-0.467811444,-0.162593713,Individual I_Gut
S_550.L1S232.s.1.sequence,-0.45995469,-0.159677735,Individual I_Gut
S_550.L1S233.s.1.sequence,-0.432999919,-0.145272622,Individual I_Gut
S_550.L1S234.s.1.sequence,-0.448554838,-0.15635499,Individual I_Gut
S_550.L1S235.s.1.sequence,-0.454424018,-0.154438447,Individual I_Gut
S_550.L1S236.s.1.sequence,-0.431163183,-0.146856587,Individual I_Gut
S_550.L1S237.s.1.sequence,-0.386028469,-0.13492466,Individual I_Gut
S_550.L1S238.s.1.sequence,-0.469787246,-0.156048108,Individual I_Gut
S_550.L1S239.s.1.sequence,-0.272209862,-0.062781734,Individual I_Gut
