,PC1,PC2,Type
S_10395.000041068,-0.355592441,-0.194760571,add_Building
S_10172.397,0.263902884,0.013934094,add_Building
S_1742.AG95,0.251275626,0.016631423,add_Building
S_10172.445,0.274008861,0.00972152,add_Building
S_10172.496,0.269947095,0.013582088,add_Building
S_10172.566,0.255469961,0.000441291,add_Building
S_10172.695,0.275423061,0.009459784,add_Building
S_10172.549,0.269205316,0.005752079,add_Building
S_10423.4AGI1C6Q8JP0H,0.254533783,0.025820817,add_Building
S_1742.BVP94,0.273045965,0.009797263,add_Building
S_10172.378,0.252892432,-0.002686704,add_Building
S_10172.224,0.261026233,0.010801787,add_Building
S_10172.294,0.261992759,0.008422138,add_Building
S_10172.734,0.266732853,0.01532037,add_Building
S_10172.406,0.262462809,0.009453831,add_Building
S_10423.71GVVT1288J1R,0.263547888,0.03399532,add_Building
S_10172.448,0.26201894,0.010614494,add_Building
S_10172.609,0.272577061,0.016052801,add_Building
S_10934.HT.broad.GH.823.stethescope.3,0.087934182,0.083954989,add_Building
S_10172.1906,0.001136947,0.088953132,add_Building
S_10172.11279,0.243656448,0.041079664,add_Building
S_10423.34E7LN0ZRJUQB,0.2654355,0.029692603,add_Building
S_10172.6949,0.271366471,-0.046494651,add_Building
S_10172.6339,0.263196503,-0.057988693,add_Building
S_10172.5345,0.262451948,-0.00777402,add_Building
S_1772.H23Do,0.282822268,0.003518218,add_Building
S_10172.9266,0.291609701,-0.023395818,add_Building
S_10172.6381,0.239064719,-0.062396804,add_Building
S_10172.5677,0.240194158,-0.04772157,add_Building
S_1772.H35Do,0.281275951,0.00078856,add_Building
S_10423.6YJLUPNCA60TU,0.22921682,0.025322594,add_Building
S_10172.11281,0.24031254,0.039743749,add_Building
S_10172.5980,0.260891537,0.009503805,add_Building
S_10172.2703,0.257847804,0.017651228,add_Building
S_1772.blankHS10,0.247044462,0.016166028,add_Building
S_1772.H56Dh,0.246297116,0.023973217,add_Building
S_1772.blankHS8,0.231668897,0.026555848,add_Building
S_1772.blankHS1,0.245346691,0.02836722,add_Building
S_386.UII29,0.172953141,0.040697539,add_Building
S_ERR166178,0.209648303,0.032869868,add_Building
S_10218.DM97,0.215665943,0.033618669,add_Building
S_10218.AG34,0.216732197,0.033339242,add_Building
S_ERR166141,0.218682785,0.038367161,add_Building
S_1742.DM97,0.216582446,0.032536247,add_Building
S_10105.beer.243,0.232965997,0.027144458,add_Building
S_10172.307,0.264440842,0.024385405,add_Building
S_1479.TUFC22,0.139430924,0.113241231,add_Building
S_10423.4T8J1H0ZSVZV5,0.217463034,0.034489348,add_Building
S_10423.48ZS8GGUYRBWM,0.191747662,0.037903676,add_Building
S_10423.2D07FTSSGTDM,0.215754286,0.035711941,add_Building
S_10423.T9ZULBH0VQ0Z,0.217361243,0.034791517,add_Building
S_10172.4622,0.182072438,0.032266721,add_Building
S_10934.10817.10689.2.JPL.SAF.005,0.12339082,0.04567988,add_Building
S_10423.2JQABBSXEFN6H,0.216644179,0.035420043,add_Building
S_10423.50TJTGPG22X90,0.218457547,0.034094431,add_Building
S_10423.ILLPKMLZMJBN,0.217542772,0.034879145,add_Building
S_10423.G098WGBT5RMJ,0.21691131,0.035646306,add_Building
S_10423.TQ9CY2SEP8UO,0.217557695,0.034629816,add_Building
