Similarity,Accummulative proportion
0,0.0025 
0.001,0.0026 
0.002,0.0027 
0.003,0.0028 
0.004,0.0028 
0.005,0.0028 
0.006,0.0028 
0.007,0.0028 
0.008,0.0029 
0.009,0.0029 
0.01,0.0029 
0.011,0.0029 
0.012,0.0029 
0.013,0.0029 
0.014,0.0030 
0.015,0.0030 
0.016,0.0030 
0.017,0.0030 
0.018,0.0030 
0.019,0.0030 
0.02,0.0030 
0.021,0.0030 
0.022,0.0030 
0.023,0.0030 
0.024,0.0030 
0.025,0.0030 
0.026,0.0030 
0.027,0.0030 
0.028,0.0030 
0.029,0.0030 
0.03,0.0030 
0.031,0.0030 
0.032,0.0030 
0.033,0.0031 
0.034,0.0031 
0.035,0.0031 
0.036,0.0031 
0.037,0.0031 
0.038,0.0031 
0.039,0.0031 
0.04,0.0031 
0.041,0.0031 
0.042,0.0031 
0.043,0.0031 
0.044,0.0031 
0.045,0.0031 
0.046,0.0031 
0.047,0.0031 
0.048,0.0031 
0.049,0.0031 
0.05,0.0031 
0.051,0.0031 
0.052,0.0031 
0.053,0.0031 
0.054,0.0031 
0.055,0.0031 
0.056,0.0031 
0.057,0.0031 
0.058,0.0031 
0.059,0.0031 
0.06,0.0031 
0.061,0.0031 
0.062,0.0031 
0.063,0.0031 
0.064,0.0031 
0.065,0.0031 
0.066,0.0031 
0.067,0.0031 
0.068,0.0031 
0.069,0.0031 
0.07,0.0031 
0.071,0.0031 
0.072,0.0031 
0.073,0.0031 
0.074,0.0031 
0.075,0.0031 
0.076,0.0031 
0.077,0.0031 
0.078,0.0031 
0.079,0.0031 
0.08,0.0031 
0.081,0.0031 
0.082,0.0032 
0.083,0.0032 
0.084,0.0032 
0.085,0.0032 
0.086,0.0032 
0.087,0.0032 
0.088,0.0032 
0.089,0.0032 
0.09,0.0032 
0.091,0.0032 
0.092,0.0032 
0.093,0.0032 
0.094,0.0032 
0.095,0.0032 
0.096,0.0032 
0.097,0.0032 
0.098,0.0032 
0.099,0.0032 
0.1,0.0032 
0.101,0.0032 
0.102,0.0032 
0.103,0.0032 
0.104,0.0032 
0.105,0.0032 
0.106,0.0032 
0.107,0.0032 
0.108,0.0032 
0.109,0.0032 
0.11,0.0032 
0.111,0.0032 
0.112,0.0032 
0.113,0.0032 
0.114,0.0032 
0.115,0.0032 
0.116,0.0032 
0.117,0.0033 
0.118,0.0033 
0.119,0.0033 
0.12,0.0033 
0.121,0.0033 
0.122,0.0033 
0.123,0.0033 
0.124,0.0033 
0.125,0.0033 
0.126,0.0033 
0.127,0.0033 
0.128,0.0033 
0.129,0.0033 
0.13,0.0033 
0.131,0.0033 
0.132,0.0033 
0.133,0.0033 
0.134,0.0033 
0.135,0.0033 
0.136,0.0033 
0.137,0.0033 
0.138,0.0033 
0.139,0.0033 
0.14,0.0033 
0.141,0.0033 
0.142,0.0033 
0.143,0.0033 
0.144,0.0033 
0.145,0.0033 
0.146,0.0033 
0.147,0.0033 
0.148,0.0034 
0.149,0.0034 
0.15,0.0034 
0.151,0.0034 
0.152,0.0034 
0.153,0.0034 
0.154,0.0034 
0.155,0.0034 
0.156,0.0034 
0.157,0.0034 
0.158,0.0034 
0.159,0.0034 
0.16,0.0034 
0.161,0.0034 
0.162,0.0034 
0.163,0.0034 
0.164,0.0034 
0.165,0.0034 
0.166,0.0034 
0.167,0.0034 
0.168,0.0034 
0.169,0.0034 
0.17,0.0034 
0.171,0.0034 
0.172,0.0034 
0.173,0.0034 
0.174,0.0034 
0.175,0.0034 
0.176,0.0034 
0.177,0.0034 
0.178,0.0034 
0.179,0.0035 
0.18,0.0035 
0.181,0.0035 
0.182,0.0035 
0.183,0.0035 
0.184,0.0035 
0.185,0.0035 
0.186,0.0035 
0.187,0.0035 
0.188,0.0035 
0.189,0.0035 
0.19,0.0035 
0.191,0.0035 
0.192,0.0035 
0.193,0.0035 
0.194,0.0035 
0.195,0.0035 
0.196,0.0035 
0.197,0.0036 
0.198,0.0036 
0.199,0.0036 
0.2,0.0036 
0.201,0.0036 
0.202,0.0036 
0.203,0.0036 
0.204,0.0036 
0.205,0.0036 
0.206,0.0036 
0.207,0.0036 
0.208,0.0036 
0.209,0.0036 
0.21,0.0036 
0.211,0.0036 
0.212,0.0037 
0.213,0.0037 
0.214,0.0037 
0.215,0.0037 
0.216,0.0037 
0.217,0.0037 
0.218,0.0037 
0.219,0.0037 
0.22,0.0037 
0.221,0.0037 
0.222,0.0037 
0.223,0.0037 
0.224,0.0037 
0.225,0.0037 
0.226,0.0037 
0.227,0.0037 
0.228,0.0037 
0.229,0.0037 
0.23,0.0037 
0.231,0.0037 
0.232,0.0038 
0.233,0.0038 
0.234,0.0038 
0.235,0.0038 
0.236,0.0038 
0.237,0.0038 
0.238,0.0038 
0.239,0.0038 
0.24,0.0038 
0.241,0.0038 
0.242,0.0038 
0.243,0.0038 
0.244,0.0038 
0.245,0.0038 
0.246,0.0039 
0.247,0.0039 
0.248,0.0039 
0.249,0.0039 
0.25,0.0039 
0.251,0.0039 
0.252,0.0039 
0.253,0.0039 
0.254,0.0039 
0.255,0.0039 
0.256,0.0039 
0.257,0.0039 
0.258,0.0039 
0.259,0.0039 
0.26,0.0039 
0.261,0.0040 
0.262,0.0040 
0.263,0.0040 
0.264,0.0040 
0.265,0.0040 
0.266,0.0040 
0.267,0.0040 
0.268,0.0040 
0.269,0.0040 
0.27,0.0040 
0.271,0.0040 
0.272,0.0040 
0.273,0.0041 
0.274,0.0041 
0.275,0.0041 
0.276,0.0041 
0.277,0.0041 
0.278,0.0041 
0.279,0.0041 
0.28,0.0041 
0.281,0.0041 
0.282,0.0041 
0.283,0.0041 
0.284,0.0041 
0.285,0.0042 
0.286,0.0042 
0.287,0.0042 
0.288,0.0042 
0.289,0.0042 
0.29,0.0042 
0.291,0.0042 
0.292,0.0042 
0.293,0.0042 
0.294,0.0042 
0.295,0.0042 
0.296,0.0042 
0.297,0.0042 
0.298,0.0043 
0.299,0.0043 
0.3,0.0043 
0.301,0.0043 
0.302,0.0043 
0.303,0.0043 
0.304,0.0043 
0.305,0.0043 
0.306,0.0043 
0.307,0.0043 
0.308,0.0044 
0.309,0.0044 
0.31,0.0044 
0.311,0.0044 
0.312,0.0044 
0.313,0.0044 
0.314,0.0044 
0.315,0.0045 
0.316,0.0045 
0.317,0.0045 
0.318,0.0045 
0.319,0.0045 
0.32,0.0045 
0.321,0.0045 
0.322,0.0045 
0.323,0.0046 
0.324,0.0046 
0.325,0.0046 
0.326,0.0046 
0.327,0.0046 
0.328,0.0046 
0.329,0.0046 
0.33,0.0046 
0.331,0.0047 
0.332,0.0047 
0.333,0.0047 
0.334,0.0047 
0.335,0.0047 
0.336,0.0047 
0.337,0.0048 
0.338,0.0048 
0.339,0.0048 
0.34,0.0048 
0.341,0.0048 
0.342,0.0048 
0.343,0.0049 
0.344,0.0049 
0.345,0.0049 
0.346,0.0049 
0.347,0.0049 
0.348,0.0049 
0.349,0.0050 
0.35,0.0050 
0.351,0.0050 
0.352,0.0050 
0.353,0.0050 
0.354,0.0050 
0.355,0.0051 
0.356,0.0051 
0.357,0.0051 
0.358,0.0051 
0.359,0.0051 
0.36,0.0051 
0.361,0.0052 
0.362,0.0052 
0.363,0.0052 
0.364,0.0052 
0.365,0.0052 
0.366,0.0052 
0.367,0.0053 
0.368,0.0053 
0.369,0.0053 
0.37,0.0053 
0.371,0.0053 
0.372,0.0054 
0.373,0.0054 
0.374,0.0054 
0.375,0.0054 
0.376,0.0054 
0.377,0.0055 
0.378,0.0055 
0.379,0.0055 
0.38,0.0055 
0.381,0.0055 
0.382,0.0056 
0.383,0.0056 
0.384,0.0056 
0.385,0.0056 
0.386,0.0057 
0.387,0.0057 
0.388,0.0057 
0.389,0.0057 
0.39,0.0058 
0.391,0.0058 
0.392,0.0058 
0.393,0.0058 
0.394,0.0058 
0.395,0.0059 
0.396,0.0059 
0.397,0.0059 
0.398,0.0059 
0.399,0.0060 
0.4,0.0060 
0.401,0.0060 
0.402,0.0060 
0.403,0.0060 
0.404,0.0061 
0.405,0.0061 
0.406,0.0061 
0.407,0.0061 
0.408,0.0062 
0.409,0.0062 
0.41,0.0062 
0.411,0.0063 
0.412,0.0063 
0.413,0.0063 
0.414,0.0063 
0.415,0.0064 
0.416,0.0064 
0.417,0.0064 
0.418,0.0064 
0.419,0.0065 
0.42,0.0065 
0.421,0.0065 
0.422,0.0066 
0.423,0.0066 
0.424,0.0066 
0.425,0.0067 
0.426,0.0067 
0.427,0.0067 
0.428,0.0068 
0.429,0.0068 
0.43,0.0069 
0.431,0.0069 
0.432,0.0069 
0.433,0.0070 
0.434,0.0070 
0.435,0.0071 
0.436,0.0071 
0.437,0.0071 
0.438,0.0072 
0.439,0.0072 
0.44,0.0073 
0.441,0.0073 
0.442,0.0073 
0.443,0.0074 
0.444,0.0074 
0.445,0.0075 
0.446,0.0075 
0.447,0.0076 
0.448,0.0076 
0.449,0.0077 
0.45,0.0077 
0.451,0.0077 
0.452,0.0078 
0.453,0.0079 
0.454,0.0079 
0.455,0.0080 
0.456,0.0080 
0.457,0.0081 
0.458,0.0081 
0.459,0.0082 
0.46,0.0083 
0.461,0.0083 
0.462,0.0084 
0.463,0.0084 
0.464,0.0085 
0.465,0.0086 
0.466,0.0087 
0.467,0.0087 
0.468,0.0088 
0.469,0.0089 
0.47,0.0090 
0.471,0.0090 
0.472,0.0091 
0.473,0.0092 
0.474,0.0093 
0.475,0.0094 
0.476,0.0095 
0.477,0.0096 
0.478,0.0098 
0.479,0.0099 
0.48,0.0100 
0.481,0.0101 
0.482,0.0103 
0.483,0.0104 
0.484,0.0105 
0.485,0.0107 
0.486,0.0109 
0.487,0.0110 
0.488,0.0112 
0.489,0.0114 
0.49,0.0116 
0.491,0.0118 
0.492,0.0120 
0.493,0.0123 
0.494,0.0125 
0.495,0.0127 
0.496,0.0130 
0.497,0.0133 
0.498,0.0135 
0.499,0.0138 
0.5,0.0141 
0.501,0.0144 
0.502,0.0148 
0.503,0.0151 
0.504,0.0154 
0.505,0.0158 
0.506,0.0161 
0.507,0.0165 
0.508,0.0169 
0.509,0.0173 
0.51,0.0177 
0.511,0.0181 
0.512,0.0185 
0.513,0.0190 
0.514,0.0194 
0.515,0.0199 
0.516,0.0204 
0.517,0.0209 
0.518,0.0215 
0.519,0.0220 
0.52,0.0226 
0.521,0.0231 
0.522,0.0237 
0.523,0.0243 
0.524,0.0250 
0.525,0.0257 
0.526,0.0264 
0.527,0.0271 
0.528,0.0278 
0.529,0.0286 
0.53,0.0294 
0.531,0.0302 
0.532,0.0310 
0.533,0.0319 
0.534,0.0328 
0.535,0.0337 
0.536,0.0346 
0.537,0.0355 
0.538,0.0365 
0.539,0.0375 
0.54,0.0385 
0.541,0.0395 
0.542,0.0406 
0.543,0.0416 
0.544,0.0428 
0.545,0.0439 
0.546,0.0451 
0.547,0.0462 
0.548,0.0475 
0.549,0.0487 
0.55,0.0500 
0.551,0.0513 
0.552,0.0526 
0.553,0.0540 
0.554,0.0554 
0.555,0.0568 
0.556,0.0582 
0.557,0.0597 
0.558,0.0612 
0.559,0.0628 
0.56,0.0643 
0.561,0.0659 
0.562,0.0676 
0.563,0.0692 
0.564,0.0709 
0.565,0.0727 
0.566,0.0744 
0.567,0.0762 
0.568,0.0781 
0.569,0.0799 
0.57,0.0818 
0.571,0.0838 
0.572,0.0858 
0.573,0.0878 
0.574,0.0898 
0.575,0.0920 
0.576,0.0941 
0.577,0.0963 
0.578,0.0985 
0.579,0.1008 
0.58,0.1031 
0.581,0.1055 
0.582,0.1079 
0.583,0.1103 
0.584,0.1128 
0.585,0.1153 
0.586,0.1179 
0.587,0.1205 
0.588,0.1232 
0.589,0.1259 
0.59,0.1287 
0.591,0.1315 
0.592,0.1344 
0.593,0.1372 
0.594,0.1402 
0.595,0.1432 
0.596,0.1462 
0.597,0.1493 
0.598,0.1525 
0.599,0.1557 
0.6,0.1589 
0.601,0.1622 
0.602,0.1656 
0.603,0.1690 
0.604,0.1724 
0.605,0.1759 
0.606,0.1794 
0.607,0.1830 
0.608,0.1867 
0.609,0.1904 
0.61,0.1942 
0.611,0.1980 
0.612,0.2018 
0.613,0.2058 
0.614,0.2097 
0.615,0.2137 
0.616,0.2178 
0.617,0.2219 
0.618,0.2261 
0.619,0.2304 
0.62,0.2347 
0.621,0.2390 
0.622,0.2434 
0.623,0.2479 
0.624,0.2524 
0.625,0.2570 
0.626,0.2616 
0.627,0.2662 
0.628,0.2710 
0.629,0.2757 
0.63,0.2805 
0.631,0.2854 
0.632,0.2903 
0.633,0.2953 
0.634,0.3003 
0.635,0.3053 
0.636,0.3104 
0.637,0.3155 
0.638,0.3207 
0.639,0.3259 
0.64,0.3311 
0.641,0.3364 
0.642,0.3417 
0.643,0.3470 
0.644,0.3523 
0.645,0.3577 
0.646,0.3631 
0.647,0.3685 
0.648,0.3740 
0.649,0.3795 
0.65,0.3850 
0.651,0.3905 
0.652,0.3960 
0.653,0.4016 
0.654,0.4072 
0.655,0.4128 
0.656,0.4184 
0.657,0.4240 
0.658,0.4296 
0.659,0.4353 
0.66,0.4409 
0.661,0.4466 
0.662,0.4522 
0.663,0.4578 
0.664,0.4635 
0.665,0.4691 
0.666,0.4747 
0.667,0.4803 
0.668,0.4859 
0.669,0.4915 
0.67,0.4971 
0.671,0.5026 
0.672,0.5081 
0.673,0.5136 
0.674,0.5191 
0.675,0.5245 
0.676,0.5300 
0.677,0.5353 
0.678,0.5407 
0.679,0.5460 
0.68,0.5513 
0.681,0.5566 
0.682,0.5618 
0.683,0.5670 
0.684,0.5722 
0.685,0.5773 
0.686,0.5824 
0.687,0.5875 
0.688,0.5925 
0.689,0.5976 
0.69,0.6026 
0.691,0.6075 
0.692,0.6125 
0.693,0.6174 
0.694,0.6223 
0.695,0.6272 
0.696,0.6320 
0.697,0.6369 
0.698,0.6417 
0.699,0.6464 
0.7,0.6512 
0.701,0.6559 
0.702,0.6606 
0.703,0.6653 
0.704,0.6700 
0.705,0.6746 
0.706,0.6792 
0.707,0.6837 
0.708,0.6883 
0.709,0.6928 
0.71,0.6972 
0.711,0.7016 
0.712,0.7060 
0.713,0.7104 
0.714,0.7147 
0.715,0.7189 
0.716,0.7232 
0.717,0.7273 
0.718,0.7315 
0.719,0.7355 
0.72,0.7396 
0.721,0.7436 
0.722,0.7475 
0.723,0.7514 
0.724,0.7553 
0.725,0.7591 
0.726,0.7629 
0.727,0.7666 
0.728,0.7702 
0.729,0.7738 
0.73,0.7774 
0.731,0.7810 
0.732,0.7844 
0.733,0.7879 
0.734,0.7913 
0.735,0.7946 
0.736,0.7979 
0.737,0.8012 
0.738,0.8044 
0.739,0.8076 
0.74,0.8107 
0.741,0.8138 
0.742,0.8168 
0.743,0.8198 
0.744,0.8228 
0.745,0.8257 
0.746,0.8286 
0.747,0.8315 
0.748,0.8343 
0.749,0.8371 
0.75,0.8398 
0.751,0.8425 
0.752,0.8452 
0.753,0.8478 
0.754,0.8504 
0.755,0.8530 
0.756,0.8555 
0.757,0.8580 
0.758,0.8604 
0.759,0.8629 
0.76,0.8652 
0.761,0.8676 
0.762,0.8699 
0.763,0.8722 
0.764,0.8745 
0.765,0.8767 
0.766,0.8789 
0.767,0.8811 
0.768,0.8832 
0.769,0.8853 
0.77,0.8874 
0.771,0.8894 
0.772,0.8914 
0.773,0.8934 
0.774,0.8954 
0.775,0.8973 
0.776,0.8992 
0.777,0.9011 
0.778,0.9029 
0.779,0.9047 
0.78,0.9065 
0.781,0.9083 
0.782,0.9101 
0.783,0.9118 
0.784,0.9135 
0.785,0.9151 
0.786,0.9168 
0.787,0.9184 
0.788,0.9200 
0.789,0.9216 
0.79,0.9232 
0.791,0.9247 
0.792,0.9262 
0.793,0.9277 
0.794,0.9291 
0.795,0.9306 
0.796,0.9320 
0.797,0.9334 
0.798,0.9348 
0.799,0.9361 
0.8,0.9375 
0.801,0.9388 
0.802,0.9401 
0.803,0.9413 
0.804,0.9426 
0.805,0.9438 
0.806,0.9450 
0.807,0.9462 
0.808,0.9474 
0.809,0.9486 
0.81,0.9497 
0.811,0.9508 
0.812,0.9519 
0.813,0.9530 
0.814,0.9541 
0.815,0.9551 
0.816,0.9562 
0.817,0.9572 
0.818,0.9582 
0.819,0.9591 
0.82,0.9601 
0.821,0.9611 
0.822,0.9620 
0.823,0.9629 
0.824,0.9638 
0.825,0.9647 
0.826,0.9655 
0.827,0.9664 
0.828,0.9672 
0.829,0.9681 
0.83,0.9689 
0.831,0.9696 
0.832,0.9704 
0.833,0.9712 
0.834,0.9719 
0.835,0.9727 
0.836,0.9734 
0.837,0.9741 
0.838,0.9748 
0.839,0.9755 
0.84,0.9761 
0.841,0.9768 
0.842,0.9774 
0.843,0.9781 
0.844,0.9787 
0.845,0.9793 
0.846,0.9799 
0.847,0.9804 
0.848,0.9810 
0.849,0.9816 
0.85,0.9821 
0.851,0.9827 
0.852,0.9832 
0.853,0.9837 
0.854,0.9842 
0.855,0.9847 
0.856,0.9852 
0.857,0.9857 
0.858,0.9861 
0.859,0.9866 
0.86,0.9870 
0.861,0.9875 
0.862,0.9879 
0.863,0.9883 
0.864,0.9887 
0.865,0.9891 
0.866,0.9895 
0.867,0.9899 
0.868,0.9902 
0.869,0.9906 
0.87,0.9909 
0.871,0.9913 
0.872,0.9916 
0.873,0.9919 
0.874,0.9923 
0.875,0.9926 
0.876,0.9929 
0.877,0.9932 
0.878,0.9934 
0.879,0.9937 
0.88,0.9940 
0.881,0.9942 
0.882,0.9945 
0.883,0.9947 
0.884,0.9950 
0.885,0.9952 
0.886,0.9954 
0.887,0.9956 
0.888,0.9958 
0.889,0.9960 
0.89,0.9962 
0.891,0.9964 
0.892,0.9966 
0.893,0.9968 
0.894,0.9969 
0.895,0.9971 
0.896,0.9972 
0.897,0.9974 
0.898,0.9975 
0.899,0.9976 
0.9,0.9978 
0.901,0.9979 
0.902,0.9980 
0.903,0.9981 
