Similarity,Accumulative proportion
0,0.000208696
1.63E-06,0.000213043
3.03E-06,0.000217391
4.80E-06,0.000221739
1.38E-05,0.000226087
1.50E-05,0.000230435
2.60E-05,0.000234783
4.69E-05,0.00023913
6.35E-05,0.000243478
7.04E-05,0.000247826
7.55E-05,0.000252174
8.09E-05,0.000256522
8.29E-05,0.00026087
9.58E-05,0.000265217
9.82E-05,0.000269565
0.000117883,0.000273913
0.00011882,0.000282609
0.000121273,0.000286957
0.000138214,0.000291304
0.000143697,0.000295652
0.000173564,0.0003
0.00018859,0.000304348
0.000216186,0.000308696
0.000224781,0.000313043
0.000238679,0.000317391
0.000246429,0.000321739
0.000252267,0.000326087
0.000270194,0.000330435
0.000287833,0.000334783
0.000315164,0.00033913
0.000320816,0.000343478
0.000329157,0.000347826
0.000346693,0.000352174
0.000347386,0.000356522
0.000357838,0.00036087
0.000368154,0.000365217
0.000394842,0.000369565
0.000395775,0.000373913
0.000408154,0.000378261
0.00042004,0.000382609
0.000426964,0.000386957
0.000427267,0.000391304
0.000431286,0.000395652
0.000458563,0.0004
0.000464834,0.000404348
0.000495161,0.000408696
0.000548408,0.000413043
0.000626828,0.000417391
0.000703513,0.000421739
0.000723029,0.000430435
0.000755049,0.000434783
0.000778755,0.00043913
0.000782363,0.000443478
0.000792013,0.000447826
0.000793464,0.000452174
0.000804109,0.000456522
0.000804606,0.00046087
0.000883062,0.000465217
0.000911376,0.000469565
0.000983772,0.000473913
0.000998369,0.000478261
0.00102868,0.000482609
0.00103866,0.000486957
0.00105127,0.000491304
0.00111074,0.000495652
0.00111504,0.0005
0.00155147,0.000504348
0.00175808,0.000508696
0.0017875,0.000513043
0.00179402,0.000517391
0.00193466,0.000521739
0.00198315,0.000526087
0.00203926,0.000530435
0.00205417,0.000534783
0.00218489,0.00053913
0.00221851,0.000543478
0.00222612,0.000547826
0.00222704,0.000552174
0.00225057,0.000556522
0.00241127,0.00056087
0.00245928,0.000565217
0.00256718,0.000573913
0.00258351,0.000578261
0.00259244,0.000582609
0.00259476,0.000586957
0.00263814,0.000591304
0.00270258,0.000595652
0.00278159,0.0006
0.00301902,0.000604348
0.00326953,0.000608696
0.00337974,0.000613043
0.00338615,0.000617391
0.00346262,0.000621739
0.00346579,0.000626087
0.00352992,0.000630435
0.00365832,0.000634783
0.00400516,0.00063913
0.00407587,0.000643478
0.00408401,0.000647826
0.00423379,0.000652174
0.00431881,0.000656522
0.00452929,0.00066087
0.00468034,0.000665217
0.00506392,0.000669565
0.0059296,0.000673913
0.00609691,0.000678261
0.00618838,0.000682609
0.00777883,0.000686957
0.00787487,0.000691304
0.00860056,0.000695652
0.00864153,0.0007
0.00873588,0.000704348
0.00874015,0.000708696
0.00927469,0.000713043
0.00933527,0.000717391
0.00946131,0.000721739
0.00969556,0.000726087
0.00981476,0.000730435
0.0107194,0.000734783
0.0110203,0.00073913
0.0110245,0.000743478
0.011106,0.000747826
0.0118717,0.000752174
0.0122366,0.000756522
0.0127067,0.00076087
0.0128176,0.000765217
0.0130546,0.000769565
0.0134823,0.000773913
0.0138648,0.000778261
0.0144369,0.000782609
0.0149852,0.000786957
0.0177926,0.000791304
0.0194206,0.000795652
0.0210078,0.0008
0.0210681,0.000804348
0.0211833,0.000808696
0.0238438,0.000813043
0.0339185,0.000817391
0.0365512,0.000821739
0.0391321,0.000826087
0.0459693,0.000830435
0.0480993,0.000834783
0.0507442,0.00083913
0.0516078,0.000843478
0.0572317,0.000847826
0.065131,0.000852174
0.0659186,0.000856522
0.0671901,0.00086087
0.06878,0.000865217
0.0696922,0.000869565
0.0786435,0.000873913
0.0796368,0.000878261
0.0801019,0.000882609
0.0811366,0.000886957
0.081763,0.000891304
0.0833742,0.000895652
0.0873312,0.0009
0.0879533,0.000904348
0.088178,0.000908696
0.0892881,0.000913043
0.0899054,0.000917391
0.0909095,0.000921739
0.0931389,0.000926087
0.0945356,0.000930435
0.100524,0.000934783
0.104752,0.00093913
0.105178,0.000943478
0.107485,0.000947826
0.108838,0.000952174
0.112432,0.000956522
0.112791,0.00096087
0.113077,0.000965217
0.115081,0.000969565
0.115602,0.000973913
0.116681,0.000978261
0.117836,0.000982609
0.118919,0.000986957
0.119223,0.000991304
0.120267,0.000995652
0.128526,0.001
0.128686,0.001004348
0.129401,0.001008696
0.130139,0.001013043
0.137332,0.001017391
0.139751,0.001021739
0.140868,0.001026087
0.142332,0.001030435
0.145202,0.001034783
0.14672,0.00103913
0.147044,0.001043478
0.151301,0.001047826
0.158335,0.001052174
0.160545,0.001056522
0.164057,0.00106087
0.164862,0.001065217
0.173096,0.001069565
0.174373,0.001073913
0.17438,0.001078261
0.177396,0.001082609
0.177485,0.001086957
0.178814,0.001091304
0.179017,0.001095652
0.181864,0.0011
0.182439,0.001104348
0.183217,0.001108696
0.184395,0.001113043
0.186145,0.001117391
0.191464,0.001121739
0.19246,0.001126087
0.193517,0.001130435
0.193681,0.001134783
0.197304,0.00113913
0.19802,0.001143478
0.198187,0.001147826
0.198767,0.001152174
0.200703,0.001156522
0.200868,0.00116087
0.201458,0.001165217
0.201594,0.001169565
0.202247,0.001173913
0.202872,0.001178261
0.202956,0.001182609
0.204776,0.001186957
0.205201,0.001191304
0.205582,0.001195652
0.206268,0.0012
0.206868,0.001204348
0.207409,0.001208696
0.207528,0.001213043
0.208448,0.001217391
0.208853,0.001221739
0.209896,0.001226087
0.211311,0.001230435
0.211624,0.001234783
0.212462,0.00123913
0.213714,0.001243478
0.21521,0.001247826
0.216704,0.001252174
0.217131,0.001256522
0.217782,0.00126087
0.218072,0.001265217
0.218232,0.001269565
0.219105,0.001273913
0.220478,0.001278261
0.220717,0.001282609
0.221367,0.001286957
0.221555,0.001291304
0.221595,0.001295652
0.221716,0.0013
0.221717,0.001304348
0.22319,0.001308696
0.224604,0.001313043
0.225359,0.001317391
0.228611,0.001321739
0.228623,0.001326087
0.22925,0.001330435
0.229862,0.001334783
0.230546,0.00133913
