,PC1,PC2
Marine_S01,-0.023452168,0.113619737
Marine_S02,0.084461189,0.067674909
Marine_S03,0.088796107,0.06750193
Marine_S04,-0.01853663,0.110693663
Marine_S05,0.062619735,0.059121042
Marine_S06,-0.020707717,0.112745977
Marine_S07,0.104331566,0.068167281
Marine_S08,0.100889334,0.068961397
Marine_S09,0.099669839,0.068180277
Marine_S10,-0.017187849,0.110262612
Marine_S11,0.087263937,0.06766343
Marine_S12,-0.013876744,0.108179733
Marine_S13,0.055081129,0.059639724
Marine_S14,0.058706805,0.058033827
Marine_S15,-0.014836686,0.108566033
Marine_S16,0.060868172,0.05760113
Marine_S17,0.094311741,0.06788533
Marine_S18,-0.014049772,0.107183612
Marine_S19,0.057070978,0.05983698
Sand_01,0.099276869,0.032938272
Sand_02,0.157421718,0.056286726
Sand_03,0.157151186,0.054402894
Sand_04,0.157116265,0.053047722
Sand_05,0.138385195,0.040684062
Sand_06,0.155265179,0.027844687
Sand_07,0.156648491,0.030986537
Sand_08,0.157483835,0.049726319
Sand_09,0.157001615,0.053991833
Sand_10,0.146024782,0.035955898
Sand_11,0.138533962,0.044240963
Sand_12,0.155410373,0.054922298
Sand_13,0.137439423,0.042280004
Sand_14,0.132447557,0.05694774
Sand_15,0.104649124,0.038595621
Sand_16,0.109714103,0.03618625
Sand_17,0.117991702,0.027521877
Sand_18,0.117779576,0.031413679
Sand_19,0.138832268,0.0419925
Sand_20,0.139313398,0.041303217
Freshwater_01,-0.04086325,-0.081189926
Freshwater_02,-0.069044751,0.011089613
Freshwater_03,-0.047226008,-1.19E-05
Freshwater_04,-0.080609516,-0.016451953
Freshwater_05,-0.063032482,0.030125891
Freshwater_06,-0.130942146,0.035228732
Freshwater_07,-0.086215864,0.00719144
Freshwater_08,-0.075874256,0.0055811
Freshwater_09,0.035488882,-0.014002028
Freshwater_10,0.09099432,-0.0197279
Freshwater_11,0.027427841,-0.071462877
Freshwater_12,0.101461541,-0.019572439
Freshwater_13,0.074794004,-0.006672079
Freshwater_14,0.10356952,-0.007171854
Freshwater_15,0.071457771,-0.048562215
Freshwater_16,0.037491167,-0.020110264
Freshwater_17,0.111825758,-0.013873086
Freshwater_18,-0.01004061,0.012527031
Freshwater_19,0.093991465,-0.00233595
Freshwater_20,0.024790155,-0.01640608
Soil_01,0.11190116,0.048421421
Soil_02,0.127816917,0.063819075
Soil_03,0.134521797,0.064077529
Soil_04,0.147490951,0.055048705
Soil_05,0.148240234,0.054375766
Soil_06,0.130687639,0.06297699
Soil_07,0.138923296,0.063553232
Soil_08,0.116651277,0.042369829
Soil_09,0.138438385,0.059797755
Soil_10,0.117467743,0.040613281
Soil_11,0.145993566,0.055869742
Soil_12,0.099541352,0.049968282
Soil_13,0.138133159,0.064533152
Soil_14,0.115356324,0.038207516
Soil_15,0.142900528,0.057813866
Soil_16,0.14775219,0.053159003
Soil_17,0.131714786,0.063613652
Soil_18,0.142510466,0.058704384
Soil_19,0.106473262,0.046857337
Soil_20,0.136409077,0.064022748
Soil_21,0.114310225,0.04363182
Oral_01,-0.089632112,-0.12156712
Oral_02,-0.101619027,-0.120090398
Oral_03,-0.163283685,-0.129931849
Oral_04,-0.118968704,-0.166432053
Oral_05,-0.027684352,-0.163193075
Oral_06,-0.06487348,-0.112401338
Oral_07,-0.02902659,-0.167453289
Oral_08,-0.128233603,-0.166283562
Oral_09,-0.060634423,-0.119427109
Oral_10,-0.133026724,-0.123742307
Oral_11,-0.0373079,-0.11460823
Oral_12,-0.028996958,-0.165044435
Oral_13,-0.028465773,-0.16736108
Oral_14,-0.120798161,-0.167401685
Oral_15,-0.028382402,-0.166644634
Oral_16,-0.130299013,-0.164357079
Oral_17,-0.125444848,-0.166571522
Oral_18,-0.026987323,-0.165125075
Oral_19,-0.031768617,-0.16899278
Oral_20,-0.115820927,-0.167793257
Skin_01,-0.047159507,-0.166506497
Skin_02,-0.048992723,-0.164078895
Skin_03,0.098120093,-0.057954417
Skin_04,0.099504578,-0.060668509
Skin_05,-0.045217414,-0.167248159
Skin_06,-0.03445189,-0.145921918
Skin_07,0.098569695,-0.060761991
Skin_08,-0.032565045,-0.145303919
Skin_09,-0.04491303,-0.166965355
Skin_10,-0.037085072,-0.141184923
Skin_11,-0.047514722,-0.167499099
Skin_12,0.098358613,-0.060388251
Skin_13,-0.03232174,-0.146138386
Skin_14,0.099466626,-0.061046921
Skin_15,0.099299346,-0.060353265
Skin_16,-0.04339115,-0.166635844
Skin_17,-0.043773452,-0.165538355
Skin_18,-0.038977184,-0.136548586
Skin_19,0.097134426,-0.062054021
Skin_20,-0.037455732,-0.133695498
Skin_21,-0.034642007,-0.144432298
Gut_01,-0.228773026,0.100463046
Gut_02,-0.278146792,0.115354815
Gut_03,-0.259424639,0.119784713
Gut_04,-0.274342928,0.124880919
Gut_05,-0.268348761,0.12577489
Gut_06,-0.268644447,0.126943609
Gut_07,-0.282534558,0.121166806
Gut_08,-0.182047532,0.070583139
Gut_09,-0.282027753,0.147629691
Gut_10,-0.272638279,0.130829842
Gut_11,-0.229628574,0.094039067
Gut_12,-0.255076354,0.117749295
Gut_13,-0.259952167,0.120978066
Gut_14,-0.284861939,0.146795733
Gut_15,-0.203058772,0.075211179
Gut_16,-0.280450319,0.138834236
Gut_17,-0.231198321,0.096819791
Gut_18,-0.254157182,0.115559838
Gut_19,-0.229139202,0.101111581
Gut_20,-0.214274001,0.086420652
