,PC1,PC2,Type
S_550.L1S1.s.1.sequence,-0.160900389,0.001063689,Individual II_Gut
S_550.L1S2.s.1.sequence,-0.313335029,-0.043943631,Individual II_Gut
S_550.L1S3.s.1.sequence,-0.32274726,-0.044779421,Individual II_Gut
S_550.L1S4.s.1.sequence,-0.3648424,-0.057756568,Individual II_Gut
S_550.L1S5.s.1.sequence,-0.281600477,-0.034317403,Individual II_Gut
S_550.L1S6.s.1.sequence,-0.307280771,-0.057496781,Individual II_Gut
S_550.L1S7.s.1.sequence,-0.34451524,-0.041272005,Individual II_Gut
S_550.L1S8.s.1.sequence,-0.425978677,-0.094283557,Individual II_Gut
S_550.L1S9.s.1.sequence,-0.447736902,-0.118172927,Individual II_Gut
S_550.L1S10.s.1.sequence,-0.417941951,-0.090869113,Individual II_Gut
S_550.L1S11.s.1.sequence,-0.441000785,-0.114831827,Individual II_Gut
S_550.L1S12.s.1.sequence,-0.432150762,-0.118428116,Individual II_Gut
S_550.L1S13.s.1.sequence,-0.435809732,-0.114610576,Individual II_Gut
S_550.L1S14.s.1.sequence,-0.407768223,-0.094933812,Individual II_Gut
S_550.L1S15.s.1.sequence,-0.417669662,-0.113772158,Individual II_Gut
S_550.L1S16.s.1.sequence,-0.424315223,-0.112587691,Individual II_Gut
S_550.L1S17.s.1.sequence,-0.392785956,-0.073123557,Individual II_Gut
S_550.L1S18.s.1.sequence,-0.419365781,-0.093859291,Individual II_Gut
S_550.L1S19.s.1.sequence,-0.432647448,-0.115779754,Individual II_Gut
S_550.L1S20.s.1.sequence,-0.417136687,-0.107509596,Individual II_Gut
S_550.L1S21.s.1.sequence,-0.441516899,-0.123008308,Individual II_Gut
S_550.L1S22.s.1.sequence,-0.426078322,-0.116303166,Individual II_Gut
S_550.L1S23.s.1.sequence,-0.384282918,-0.085238803,Individual II_Gut
S_550.L1S24.s.1.sequence,-0.397740352,-0.095312889,Individual II_Gut
S_550.L1S25.s.1.sequence,-0.428937264,-0.117017211,Individual II_Gut
S_550.L1S26.s.1.sequence,-0.321887667,-0.050810392,Individual II_Gut
S_550.L1S27.s.1.sequence,-0.436110087,-0.131473273,Individual II_Gut
S_550.L1S28.s.1.sequence,-0.446382071,-0.131150998,Individual II_Gut
S_550.L1S29.s.1.sequence,-0.42656776,-0.121854994,Individual II_Gut
S_550.L1S30.s.1.sequence,-0.442321736,-0.124404525,Individual II_Gut
S_550.L1S31.s.1.sequence,-0.388364804,-0.077480301,Individual II_Gut
S_550.L1S32.s.1.sequence,-0.424616099,-0.107111384,Individual II_Gut
S_550.L1S33.s.1.sequence,-0.43212427,-0.119394156,Individual II_Gut
S_550.L1S34.s.1.sequence,-0.41832025,-0.11420288,Individual II_Gut
S_550.L1S35.s.1.sequence,-0.383490873,-0.079546607,Individual II_Gut
S_550.L1S36.s.1.sequence,-0.285507774,-0.034628439,Individual II_Gut
S_550.L1S37.s.1.sequence,-0.32116304,-0.06798006,Individual II_Gut
S_550.L1S38.s.1.sequence,-0.231047838,-0.026981691,Individual II_Gut
S_550.L1S39.s.1.sequence,-0.273412104,-0.023021367,Individual II_Gut
S_550.L1S40.s.1.sequence,-0.359625355,-0.066904904,Individual II_Gut
S_550.L1S41.s.1.sequence,-0.376794422,-0.074987551,Individual II_Gut
S_550.L1S42.s.1.sequence,-0.336243084,-0.036110234,Individual II_Gut
S_550.L1S43.s.1.sequence,-0.372594066,-0.100130636,Individual II_Gut
S_550.L1S44.s.1.sequence,-0.249761222,-0.065924943,Individual II_Gut
S_550.L1S45.s.1.sequence,-0.348712966,-0.068221294,Individual II_Gut
S_550.L1S46.s.1.sequence,-0.328070292,-0.076219785,Individual II_Gut
S_550.L1S47.s.1.sequence,-0.383457764,-0.090039934,Individual II_Gut
S_550.L1S48.s.1.sequence,-0.306620638,-0.081036122,Individual II_Gut
S_550.L1S49.s.1.sequence,-0.35524266,-0.087793837,Individual II_Gut
S_550.L1S50.s.1.sequence,-0.420870009,-0.11091794,Individual II_Gut
S_550.L1S51.s.1.sequence,-0.417476224,-0.11379991,Individual II_Gut
S_550.L1S52.s.1.sequence,-0.324612575,-0.054285731,Individual II_Gut
S_550.L1S53.s.1.sequence,-0.410314702,-0.103749053,Individual II_Gut
S_550.L1S54.s.1.sequence,-0.395773355,-0.112659371,Individual II_Gut
S_550.L1S55.s.1.sequence,-0.373881818,-0.083663051,Individual II_Gut
S_550.L1S56.s.1.sequence,-0.389346,-0.100832165,Individual II_Gut
S_550.L1S57.s.1.sequence,-0.365816643,-0.082955566,Individual II_Gut
S_550.L1S58.s.1.sequence,-0.356465249,-0.084963667,Individual II_Gut
S_550.L1S59.s.1.sequence,-0.368204957,-0.083889199,Individual II_Gut
S_550.L1S60.s.1.sequence,-0.354165725,-0.080632219,Individual II_Gut
S_550.L1S61.s.1.sequence,-0.288625451,-0.086990708,Individual II_Gut
S_550.L1S62.s.1.sequence,-0.42596392,-0.117083046,Individual II_Gut
S_550.L1S63.s.1.sequence,-0.357301514,-0.07996767,Individual II_Gut
S_550.L1S64.s.1.sequence,-0.40292371,-0.114518575,Individual II_Gut
S_550.L1S65.s.1.sequence,-0.403064585,-0.103709156,Individual II_Gut
S_550.L1S66.s.1.sequence,-0.406986519,-0.110419393,Individual II_Gut
S_550.L1S67.s.1.sequence,-0.425373158,-0.119161313,Individual II_Gut
S_550.L1S68.s.1.sequence,-0.412112543,-0.11104945,Individual II_Gut
S_550.L1S69.s.1.sequence,-0.416500358,-0.122244351,Individual II_Gut
S_550.L1S70.s.1.sequence,-0.44334381,-0.135289963,Individual II_Gut
S_550.L1S71.s.1.sequence,-0.410593245,-0.117043326,Individual II_Gut
S_550.L1S72.s.1.sequence,-0.403388255,-0.107268007,Individual II_Gut
S_550.L1S73.s.1.sequence,-0.435269588,-0.114237204,Individual II_Gut
S_550.L1S74.s.1.sequence,-0.441099109,-0.131943036,Individual II_Gut
S_550.L1S75.s.1.sequence,-0.39036897,-0.116569153,Individual II_Gut
S_550.L1S76.s.1.sequence,-0.385105646,-0.107961899,Individual II_Gut
S_550.L1S77.s.1.sequence,-0.411495234,-0.122523331,Individual II_Gut
S_550.L1S78.s.1.sequence,-0.414679637,-0.118336789,Individual II_Gut
S_550.L1S79.s.1.sequence,-0.364103236,-0.091028914,Individual II_Gut
S_550.L1S80.s.1.sequence,-0.408426342,-0.110983821,Individual II_Gut
S_550.L1S81.s.1.sequence,-0.392347751,-0.081536025,Individual II_Gut
S_550.L1S82.s.1.sequence,-0.324989724,-0.074841723,Individual II_Gut
S_550.L1S83.s.1.sequence,-0.344090122,-0.089326248,Individual II_Gut
S_550.L1S84.s.1.sequence,-0.32815784,-0.064732085,Individual II_Gut
S_550.L1S85.s.1.sequence,-0.407066807,-0.111175453,Individual II_Gut
S_550.L1S86.s.1.sequence,-0.432559389,-0.128606325,Individual II_Gut
S_550.L1S87.s.1.sequence,-0.388572933,-0.1142527,Individual II_Gut
S_550.L1S88.s.1.sequence,-0.424107417,-0.130767974,Individual II_Gut
S_550.L1S89.s.1.sequence,-0.432667517,-0.130199482,Individual II_Gut
S_550.L1S90.s.1.sequence,-0.336655027,-0.089278062,Individual II_Gut
S_550.L1S91.s.1.sequence,-0.426813672,-0.116248536,Individual II_Gut
S_550.L1S92.s.1.sequence,-0.404638209,-0.117389702,Individual II_Gut
S_550.L1S93.s.1.sequence,-0.411769574,-0.114353791,Individual II_Gut
S_550.L1S94.s.1.sequence,-0.383832733,-0.113304891,Individual II_Gut
S_550.L1S95.s.1.sequence,-0.393225734,-0.104507225,Individual II_Gut
S_550.L1S97.s.1.sequence,-0.371231931,-0.065382547,Individual II_Gut
S_550.L1S98.s.1.sequence,-0.374890669,-0.094690997,Individual II_Gut
S_550.L1S99.s.1.sequence,-0.391443625,-0.094318303,Individual II_Gut
S_550.L1S100.s.1.sequence,-0.425406185,-0.121642894,Individual II_Gut
S_550.L1S101.s.1.sequence,-0.400126045,-0.106695836,Individual II_Gut
S_550.L1S102.s.1.sequence,-0.268761346,-0.067549147,Individual II_Gut
S_550.L1S103.s.1.sequence,-0.346594848,-0.097164914,Individual II_Gut
S_550.L1S104.s.1.sequence,-0.362303268,-0.106220673,Individual II_Gut
S_550.L1S105.s.1.sequence,-0.380021902,-0.105253905,Individual II_Gut
S_550.L1S106.s.1.sequence,-0.365034778,-0.101739116,Individual II_Gut
S_550.L1S107.s.1.sequence,-0.30443298,-0.082368523,Individual II_Gut
S_550.L1S108.s.1.sequence,-0.375074677,-0.101410279,Individual II_Gut
S_550.L1S109.s.1.sequence,-0.40110365,-0.11910433,Individual II_Gut
S_550.L1S110.s.1.sequence,-0.243169902,-0.090752843,Individual II_Gut
