,PC1,PC2,Type
S_1192.9M.r,0.06160356,0.032580317,Freshwater
S_1192.3M,0.229924897,-0.01754283,Freshwater
S_1192.10M,0.168286181,0.003766201,Freshwater
S_1192.CM.r,0.236605398,-0.00691475,Freshwater
S_1192.CM,0.094226929,-0.020078336,Freshwater
S_1192.11M,0.023786718,-0.031503965,Freshwater
S_1192.7M,0.168750997,-0.01130816,Freshwater
S_1192.1M.r,0.233950623,-0.019451371,Freshwater
S_1192.6M,0.128947388,0.021694266,Freshwater
S_1192.8M,0.082715422,0.030646571,Freshwater
S_1192.2M,0.187592255,-0.006519952,Freshwater
S_1192.5M,0.211497637,-0.006384741,Freshwater
S_1192.10M.r,0.238399261,-0.01489451,Freshwater
S_1192.12M.r,0.234180341,-0.01041739,Freshwater
S_1192.4M,0.252257667,-0.028785044,Freshwater
S_1192.11M.r,0.237930543,-0.017524321,Freshwater
S_1192.12M,0.108807583,-0.00632484,Freshwater
S_1192.9M,-0.04987004,-0.10550423,Freshwater
S_1011.C.3052.01.S1,-0.248313175,0.0389545,Gut
S_1011.C.3074.01.S1,-0.313524187,-0.038767557,Gut
S_1011.C.3051.01.S1,-0.353515456,-0.042387708,Gut
S_1011.C.3049.01.S1,-0.348149112,-0.04433119,Gut
S_1011.C.3043.01.S1,-0.313100035,-0.015340664,Gut
S_1011.C.3080.01.S2,-0.277848452,0.029026175,Gut
S_1011.C.3046.01.S1,-0.346650478,-0.022487528,Gut
S_1011.C.3015.01.P1,-0.316541491,-0.036680796,Gut
S_1011.C.4005.01.P1,-0.332998357,-0.033321465,Gut
S_1011.C.3042.01.S1,-0.345201138,-0.036933425,Gut
S_1011.C.3037.01.S1,-0.310973206,-0.019199968,Gut
S_1011.C.3007.01.P1,-0.304063242,-0.03776566,Gut
S_1011.C.3010.01.P1,-0.315984555,-0.016788211,Gut
S_1011.C.4029.01.S1,-0.274921262,0.029141139,Gut
S_1011.C.3047.01.S1,-0.335707063,-0.035206006,Gut
S_1011.C.4000.01.P1,-0.315237824,0.008019342,Gut
S_1011.C.3065.01.S1,-0.328337547,-0.034299625,Gut
S_1011.C.3039.01.S1,-0.330132895,-0.032491386,Gut
S_1011.C.3053.01.S1,-0.340697275,-0.048804907,Gut
S_1011.C.3086.01.S1,-0.247666241,-0.026191422,Gut
S_1011.C.3072.01.S2,-0.329691715,-0.042073323,Gut
S_1011.C.3038.01.S2,-0.319225462,-0.024414475,Gut
S_1011.C.3057.01.S2,-0.348701802,-0.03355099,Gut
S_1011.C.3068.01.S1,-0.292181256,-0.011214018,Gut
S_1011.C.3011.01.P1,-0.298238267,-0.036073682,Gut
S_1011.C.3019.01.P1,-0.347269222,-0.046147022,Gut
S_1011.C.3078.01.S1,-0.266010483,-0.0479154,Gut
S_1011.C.3044.01.S1,-0.33775879,-0.033799788,Gut
S_1011.C.3033.01.S1,-0.291902652,-0.01934312,Gut
S_1011.C.4030.01.S1,-0.313277081,-0.015173461,Gut
S_1011.C.4023.01.S1,-0.290814361,-0.030846021,Gut
S_1011.C.3060.01.S1,-0.324676653,-0.037616372,Gut
S_1011.C.3076.01.S1,-0.180616301,-0.013663958,Gut
S_1011.C.3064.01.S1,-0.310778817,0.004918697,Gut
S_1011.C.4009.01.P1,-0.351613508,-0.046658887,Gut
S_1011.C.4027.01.S2,-0.321840157,-0.025955419,Gut
S_1011.C.3066.01.S1,-0.351800066,-0.054405454,Gut
S_1011.C.3034.01.S1,-0.32494093,-0.037716099,Gut
S_1011.C.3050.01.S2,-0.33337374,-0.03855955,Gut
S_1011.C.3045.01.S2,-0.274666829,-0.050730619,Gut
S_1011.C.3084.01.S1,-0.321677661,-0.026568846,Gut
S_1011.C.3031.01.S1,-0.290860932,-0.034680321,Gut
S_1011.C.3056.01.S2,-0.31487559,-0.019295198,Gut
S_1011.C.4001.01.P1,-0.332018358,-0.04500276,Gut
S_1011.C.3006.01.P1,-0.284073927,-0.040650504,Gut
S_1011.C.4007.01.P1,-0.307567172,-0.036205742,Gut
S_1011.C.3016.01.P1,-0.339920909,-0.050244791,Gut
S_1011.C.3009.01.P1,-0.346215348,-0.041901004,Gut
S_1011.C.3018.01.P1,-0.199566578,-0.059020141,Gut
S_1011.C.3023.01.P1,-0.249714095,-0.019040311,Gut
S_1011.C.3017.01.P1,-0.289912804,0.01025219,Gut
S_1011.C.4010.01.P1,-0.328511319,-0.006068261,Gut
S_1011.C.3014.01.P1,-0.261844273,-0.052418835,Gut
S_1011.C.3003.01.P1,-0.314125806,0.0069986,Gut
S_1011.C.3028.01.S1,-0.302064917,0.009589481,Gut
S_1011.C.3075.01.S1,-0.297398717,-0.033555841,Gut
S_1011.C.4028.01.S1,-0.320751203,-0.031419874,Gut
S_1011.C.3055.01.S1,-0.293206123,-0.021692129,Gut
S_1011.C.3070.01.S1,-0.34336338,-0.031042257,Gut
S_1011.C.3079.01.S3,-0.32237449,-0.025181068,Gut
S_1011.C.3059.01.S3,-0.334448186,-0.038978129,Gut
S_1011.C.3041.01.S2,-0.325856964,-0.02238188,Gut
S_1011.C.3026.01.P1,-0.255796408,0.037140409,Gut
S_1011.C.4014.01.P1,-0.308628831,0.008057365,Gut
S_1011.C.4020.01.P1,-0.318345295,-0.018556152,Gut
S_1011.C.3040.01.S1,-0.29721527,0.014361807,Gut
S_1011.C.4006.01.P1,-0.32368469,-0.031642968,Gut
S_1011.C.3081.01.S3,-0.226047937,-0.014873946,Gut
S_1011.C.3069.01.S1,-0.309041797,-0.029328534,Gut
S_1011.C.3077.01.S1,-0.340045823,-0.038332745,Gut
S_1011.C.3032.01.S2,-0.291098049,-0.011342927,Gut
S_1011.C.3030.01.S3,-0.289503868,-0.019462846,Gut
S_1011.C.4013.01.P1,-0.328683149,-0.040304571,Gut
S_1011.C.3085.01.S2,-0.339258836,-0.039074668,Gut
S_1011.C.4011.01.P1,-0.249858197,0.007487727,Gut
S_1011.C.3027.01.P1,-0.290132896,-0.009223755,Gut
S_1011.C.3063.01.S1,-0.199413612,0.003008263,Gut
S_1011.C.3048.01.S1,-0.341246609,-0.035530825,Gut
S_1011.C.3071.01.S3,-0.333177559,-0.049521833,Gut
S_1011.C.3029.01.S1,-0.247762338,0.009572169,Gut
S_1011.C.4026.01.S1,-0.326465133,-0.028292963,Gut
S_1011.C.4024.01.S3,-0.32499794,-0.018133618,Gut
S_1011.C.3008.01.P1,-0.33165417,-0.0392594,Gut
S_1011.C.3001.01.P1,-0.324379583,-0.023008205,Gut
S_1011.C.3022.01.P1,-0.309651048,-0.021544823,Gut
S_1011.C.3013.01.P1,-0.343282967,-0.035181506,Gut
S_1011.C.4002.01.P1,-0.320520238,-0.026565567,Gut
S_1011.C.3082.01.S2,-0.319394619,-0.022529672,Gut
S_1011.C.3004.01.P1,-0.301393014,-0.001035329,Gut
S_1011.C.3020.01.P1,-0.343479796,-0.033883595,Gut
S_1011.C.4019.01.P1,-0.324329598,-0.011533584,Gut
S_1011.C.4022.01.S1,-0.260618428,0.001842944,Gut
S_1011.C.4004.01.P1,-0.309703494,-0.049773382,Gut
S_1011.C.3025.01.P1,-0.254988402,-0.013419703,Gut
S_1011.C.3067.01.S1,-0.295018017,-0.014426143,Gut
S_1011.C.3062.01.S1,-0.209836312,0.043363557,Gut
S_1011.C.4025.01.S1,-0.202989241,0.020150655,Gut
S_1011.C.4021.01.S3,-0.18574063,-0.003354385,Gut
S_1011.C.3083.01.S2,-0.325533453,-0.024666041,Gut
S_2202.Stool19,-0.264670879,-0.05345067,Gut
S_2202.Stool235,-0.205080223,-0.080237859,Gut
S_2202.Stool399,-0.352941787,-0.060760411,Gut
S_2202.Stool54,-0.209331317,-0.067505435,Gut
S_2202.Stool142,-0.292918096,-0.042086449,Gut
S_2202.Stool149,-0.295948677,-0.055285844,Gut
S_2202.Stool115,-0.244089568,-0.050133024,Gut
S_2202.Stool22,-0.236749486,-0.048542689,Gut
S_2202.Stool172,-0.298631311,-0.045234927,Gut
S_2202.Stool144,-0.189984577,-0.077761482,Gut
S_2202.Stool203,-0.331016722,-0.04468871,Gut
S_2202.Stool52,-0.221315393,-0.049026422,Gut
S_2202.Stool106,-0.10557599,0.071422757,Gut
S_2202.Stool50,-0.226439422,-0.048398206,Gut
S_2202.Stool122,-0.255757611,-0.053496042,Gut
S_2202.Stool64,-0.278423114,-0.055367752,Gut
S_2202.Stool230,-0.23678621,-0.064706745,Gut
S_2202.Stool107,-0.299194251,0.039003698,Gut
S_2202.Stool234,-0.152134128,-0.088405435,Gut
S_2202.Stool174,-0.252502368,-0.064835903,Gut
S_2202.Stool33,-0.263093669,-0.069835767,Gut
S_2202.Stool212,-0.310818187,-0.051711583,Gut
S_2202.Stool187,-0.153714991,-0.055276967,Gut
S_2202.Stool195,-0.181461998,-0.093946314,Gut
