Day,g__Other,g__Streptophyta_Group,g__Porphyromonas,g__Oribacterium,g__Campylobacter,g__Neisseria,g__Gemella,g__Actinomyces,g__Granulicatella,g__Rothia,g__Fusobacterium,g__Streptococcus,g__Veillonella,g__Haemophilus,g__Prevotella
5,0.022159588,0,0.000583147,0.003887647,0.005928662,0.006997765,0.009427544,0.019827,0.020507338,0.04878997,0.062785499,0.073282146,0.166877248,0.273690349,0.285256099
10,0.033506429,0.213526212,0.013229476,0.006800198,0.006800198,0.015331355,0.021266073,0.010880317,0.018669634,0.068620178,0.076656775,0.153931751,0.079500495,0.15615727,0.12512364
15,0.021719619,0,0.046131754,0.011129061,0.012924071,0.055735057,0.008975049,0.014808831,0.014988332,0.036169449,0.084365464,0.125560941,0.142523784,0.189283791,0.235684796
20,0.033579296,0,0.026948989,0.001390226,0.003208213,0.020532563,0.007058069,0.011977329,0.010587103,0.022885253,0.015399423,0.152604,0.155705272,0.132285317,0.405838948
25,0.064320533,0,0.129473309,0.005231245,0.01046249,0.032933064,0.012721436,0.009630246,0.00927357,0.017001546,0.161098561,0.136606824,0.091309,0.099155867,0.220782309
30,0.033307663,0,0.055544859,0.002021563,0.003176742,0.033596457,0.009337697,0.009433962,0.012995764,0.020600693,0.088756257,0.183962264,0.046207162,0.276857913,0.224201001
35,0.013568167,0,0.051141553,0.015916504,0.007566862,0.173646445,0.030919765,0.019960861,0.01617743,0.046966732,0.083626875,0.282713633,0.067579909,0.109328115,0.080887149
40,0.016531896,0,0.05965858,0.00557053,0.005390836,0.286522911,0.008894879,0.009973046,0.013207547,0.014914645,0.135220126,0.179065588,0.058939802,0.156334232,0.049775382
45,0.025656183,0,0.001182313,0.009576732,0.019508158,0.057815086,0.013478364,0.035705841,0.015724758,0.059233861,0.025419721,0.395247103,0.073776306,0.068692362,0.198983211
50,0.009083514,0,0.001355748,0.002711497,0.006100868,0.026030369,0.035113883,0.009761388,0.040401302,0.07904013,0.004338395,0.569821041,0.090699566,0.06670282,0.058839479
55,0.019555121,0.010999756,0.036299193,0.009410902,0.009533121,0.061476412,0.028477145,0.020410658,0.019066243,0.044243461,0.084575898,0.358103153,0.105719873,0.127352725,0.064776338
60,0.012516469,0,0.019762846,0.010759772,0.006587615,0.270311814,0.006148441,0.019543259,0.006587615,0.021848924,0.184782609,0.116161616,0.041941151,0.185111989,0.097935881
65,0.014990898,0,0.011992719,0.005032659,0.006103437,0.146696648,0.014776743,0.007388371,0.011136096,0.038119713,0.057714959,0.250133847,0.077952672,0.18888532,0.169075918
70,0.013786008,0.000617284,0.059259259,0.008744856,0.005555556,0.173971193,0.017489712,0.008641975,0.009053498,0.022530864,0.2218107,0.135493827,0.053395062,0.229938272,0.039711934
75,0.02701621,0.131478887,0.00080048,0.00070042,0.00030018,0.017210326,0.042325395,0.005003002,0.033720232,0.123874325,0.004102461,0.491394837,0.037322393,0.074944967,0.009805884
80,0.019386475,0,0.006386133,0.007640552,0.005587866,0.186452275,0.021439161,0.017219751,0.018018018,0.089862014,0.06146653,0.298779792,0.059413844,0.165241191,0.043106398
85,0.025965525,0,0.029456688,0.006982326,0.010582588,0.157320532,0.021928868,0.012328169,0.009818896,0.049312677,0.137573642,0.283329697,0.053458433,0.07735108,0.124590879
90,0.018087558,0.003571429,0.006912442,0.007949309,0.018087558,0.144124424,0.026267281,0.015092166,0.01843318,0.068202765,0.052419355,0.269470046,0.115092166,0.126382488,0.109907834
95,0.020143488,0,0.039459161,0.005702723,0.009657837,0.091703458,0.014348786,0.010945548,0.014716703,0.030077263,0.142292127,0.204010302,0.091059603,0.124908021,0.200974982
100,0.017270079,0.000208073,0.004681648,0.009155223,0.014565127,0.050249688,0.025593009,0.005722014,0.018102372,0.026633375,0.055659592,0.417602996,0.11360799,0.149292551,0.091656263
